Altium Designer Pick and Place Locations
C:\Users\ldgau\AppData\Local\TempReleases\Snapshot\2\Sources\REV Project_PCB_Rev.Project_SCH_Rev (2021-03-03)\04 - ASSEMBLY\UVLO_MODULE_PCB PNP XY REV Project_PCB_Rev.Project_SCH_Rev.csv

========================================================================================================================
File Design Information:

Date:       03-03-21
Time:       12:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Description","Package","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Assembly Note","Assembly Type","Polarized","Manufacturer #1","Part Number #1","Supplier 1","Supplier Part Number 1","HelpURL"
"R22","RES - 402R 1% 1/10W - 0603","0603","BottomLayer","1944,347","67,299","360","","SMD","No","Yageo","RC0603FR-07402RL","Digi-Key","311-402HRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R15","RES - 402R 1% 1/10W - 0603","0603","TopLayer","1944,344","67,296","360","","SMD","No","Yageo","RC0603FR-07402RL","Digi-Key","311-402HRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R21","RES - 3k 1% 1/10W - 0603","0603","TopLayer","1937,772","186,333","360","","SMD","No","Yageo","RC0603FR-073KL","Digi-Key","311-3.00KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R19","RES - 3k 1% 1/10W - 0603","0603","TopLayer","1890,002","548,094","360","","SMD","No","Yageo","RC0603FR-073KL","Digi-Key","311-3.00KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R18","RES - 3k 1% 1/10W - 0603","0603","TopLayer","1722,676","548,105","180","","SMD","No","Yageo","RC0603FR-073KL","Digi-Key","311-3.00KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R17","RES - 3k 1% 1/10W - 0603","0603","TopLayer","1722,676","1008,125","180","","SMD","No","Yageo","RC0603FR-073KL","Digi-Key","311-3.00KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R16","RES - 3k 1% 1/10W - 0603","0603","TopLayer","1891,380","1008,125","360","","SMD","No","Yageo","RC0603FR-073KL","Digi-Key","311-3.00KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R5","RES - 3k 1% 1/10W - 0603","0603","TopLayer","1664,461","1565,297","180","","SMD","No","Yageo","RC0603FR-073KL","Digi-Key","311-3.00KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R20","RES - 10k 1% 1/10W - 0603","0603","TopLayer","1936,815","248,307","180","","SMD","No","Yageo","RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R14","RES - 10k 1% 1/10W - 0603","0603","TopLayer","985,827","1462,538","180","DNI","SMD","No","Yageo","RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R13","RES - 10k 1% 1/10W - 0603","0603","TopLayer","614,867","1462,538","180","DNI","SMD","No","Yageo","RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R2","RES - 10k 1% 1/10W - 0603","0603","TopLayer","1126,847","505,833","90","","SMD","No","Yageo","RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R1","RES - 10k 1% 1/10W - 0603","0603","TopLayer","1189,375","505,833","270","","SMD","No","Yageo","RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R7","RES - 100k 1% 1/10W - 0603","0603","TopLayer","1118,973","2119,443","180","","SMD","No","Yageo","RC0603FR-07100KL","Digi-Key","311-100KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R6","RES - 100k 1% 1/10W - 0603","0603","TopLayer","784,365","1177,193","180","","SMD","No","Yageo","RC0603FR-07100KL","Digi-Key","311-100KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R9","RES - 100k 1% 1/10W - 0603","0603","TopLayer","985,827","1400,692","360","","SMD","No","Yageo","RC0603FR-07100KL","Digi-Key","311-100KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"R8","RES - 100k 1% 1/10W - 0603","0603","TopLayer","614,867","1400,692","360","","SMD","No","Yageo","RC0603FR-07100KL","Digi-Key","311-100KHRCT-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf"
"U3","ADC - IC ADC 10BIT I2C 22.3KSPS - SOT-23-5","SOT-23-5","TopLayer","1957,000","398,551","90","","SMD","Yes","Microchip Technology","MCP3021A5T-E/OT","Digi-Key","MCP3021A5T-E/OTCT-ND","https://ww1.microchip.com/downloads/en/DeviceDoc/20001805C.pdf"
"MTH4","MTH - MOUNTING HOLE M3 PLATED - M3","M3","TopLayer","2165,354","196,850","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH3","MTH - MOUNTING HOLE M3 PLATED - M3","M3","TopLayer","196,850","196,850","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH2","MTH - MOUNTING HOLE M3 PLATED - M3","M3","TopLayer","2165,354","2165,354","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"MTH1","MTH - MOUNTING HOLE M3 PLATED - M3","M3","TopLayer","196,850","2165,354","0","","NONE","","","","","","https://littlemachineshop.com/images/gallery/PDF/TapDrillSizes.pdf"
"C10","CAP - CER 10UF 10% 10V X5R - 0805","0805","TopLayer","897,952","514,258","270","DNI","SMD","NO","Taiyo Yuden","LMK212BJ106KG-T","Digi-Key","587-1300-1-ND","https://www.yuden.co.jp/productdata/catalog/mlcc_all_e.pdf"
"C5","CAP - CER 10UF 10% 10V X5R - 0805","0805","TopLayer","994,000","1537,000","180","DNI","SMD","NO","Taiyo Yuden","LMK212BJ106KG-T","Digi-Key","587-1300-1-ND","https://www.yuden.co.jp/productdata/catalog/mlcc_all_e.pdf"
"C4","CAP - CER 10UF 10% 10V X5R - 0805","0805","TopLayer","623,000","1537,000","180","DNI","SMD","NO","Taiyo Yuden","LMK212BJ106KG-T","Digi-Key","587-1300-1-ND","https://www.yuden.co.jp/productdata/catalog/mlcc_all_e.pdf"
"C9","CAP - CER 10UF 10% 10V X5R - 0805","0805","TopLayer","1776,352","386,421","270","","SMD","NO","Taiyo Yuden","LMK212BJ106KG-T","Digi-Key","587-1300-1-ND","https://www.yuden.co.jp/productdata/catalog/mlcc_all_e.pdf"
"U1","REG_DC DC CONVERTER 5V 2.5W - 4-SMD Module","4-SMD Module","TopLayer","1248,967","1013,887","180","","SMD","Yes","Mornsun America, LLC","K7805JT-500R3","Digi-Key","2725-K7805JT-500R3CT-ND","https://www.mornsun-power.com/html/pdf/K7805JT-500R3.html"
"C1","CAP - CER 10UF 10% 50V X5R - 1206","1206","TopLayer","1267,000","666,000","360","","SMD","No","Murata Electronics North America","GRT31CR61H106KE01L","Digi-Key","490-12456-1-ND","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT31CR61H106KE01-01.pdf"
"FH2","FHO - FUSE CLIP 5mm CARTRIDGE 10A PCB - 2-TH","2-TH","TopLayer","663,033","246,571","90","","TH","Yes","Bel Fuse Inc.","FC-201-22","Digi-Key","FC-201-22-ND","https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-0672-fuse-clips-series.pdf"
"FH1","FHO - FUSE CLIP 5mm CARTRIDGE 10A PCB - 2-TH","2-TH","TopLayer","663,033","890,287","90","","TH","Yes","Bel Fuse Inc.","FC-201-22","Digi-Key","FC-201-22-ND","https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-0672-fuse-clips-series.pdf"
"K1","RLY - GENERAL PURPOSE DPDT 2A 12V - TH-8","8-TH","TopLayer","1359,440","208,582","360","DNI","TH","YES","KEMET","EC2-12NU","Digi-Key","399-11029-5-ND","https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf"
"J7","CON - Header 1X4 pins, 100Mils - TH-4","TH-4","TopLayer","2240,000","847,197","360","DNI","TH","No","","","","",""
"LS1","LS - Buzzer indicator 5V 30mA 2.3kHz 85dB - TH","TH","TopLayer","1539,916","2071,243","180","","TH","Yes","CUI Devices","CMI-1295-0585T","Digi-Key","102-CMI-1295-0585T-ND","https://www.cuidevices.com/product/resource/cmi-1295-0585t.pdf"
"C2","CAP - CER 22uF 10% 25V X5R - 1206","1206","TopLayer","1407,591","1379,547","360","","SMD","NO","Samsung Electro-Mechanics","CL31A226KAHNNNE","Digi-Key","1276-3047-1-ND","http://www.samsungsem.com/global/support/product-search/mlcc/1207445_4880.html"
"C8","CAP - CER 100nF 50V X7R - 0603","0603","TopLayer","1847,456","380,853","270","","SMD","NO","Yageo","CC0603KRX7R9BB104","Digi-Key","311-1344-1-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"C7","CAP - CER 100nF 50V X7R - 0603","0603","TopLayer","1920,905","688,592","270","","SMD","NO","Yageo","CC0603KRX7R9BB104","Digi-Key","311-1344-1-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"C6","CAP - CER 100nF 50V X7R - 0603","0603","TopLayer","1920,908","867,259","90","","SMD","NO","Yageo","CC0603KRX7R9BB104","Digi-Key","311-1344-1-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"C3","CAP - CER 100nF 50V X7R - 0603","0603","TopLayer","596,000","1288,000","360","","SMD","NO","Yageo","CC0603KRX7R9BB104","Digi-Key","311-1344-1-ND","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf"
"F1","FUS - CARTRIDGE GLASS 500mA 250VAC/125VDC - 5X20mm","3AB","TopLayer","-22066,681","-21328,661","90","","MANUAL","NO","Bel Fuse Inc.","5MF 500-R","Digi-Key","507-1259-ND","https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-5mf-5mfp-series.pdf"
"TP2","TPO - TEST POINT - TH","","TopLayer","1728,316","1152,599","0","","TH","No","Keystone Electronics","5011","Digi-Key","36-5011-ND","https://www.keyelco.com/userAssets/file/M65p56.pdf"
"TP1","TPO - TEST POINT - TH","","TopLayer","455,889","2111,731","0","","TH","No","Keystone Electronics","5011","Digi-Key","36-5011-ND","https://www.keyelco.com/userAssets/file/M65p56.pdf"
"R12","RES -  POT 10K 1/2W LINEAR PLASTIC 1 turn - TH","TH","TopLayer","696,700","1732,342","180","","TH","YES","Bourns Inc.","3362P-1-103LF","Digi-Key","3362P-103LF-ND","https://www.bourns.com/docs/Product-Datasheets/3362.pdf"
"R11","RES -  POT 10K 1/2W LINEAR PLASTIC 1 turn - TH","TH","TopLayer","1067,660","1732,342","180","","TH","YES","Bourns Inc.","3362P-1-103LF","Digi-Key","3362P-103LF-ND","https://www.bourns.com/docs/Product-Datasheets/3362.pdf"
"D5","DIO - 1N4148WT - SOD-523F","SOD-523F","TopLayer","1053,947","176,850","270","DNI","SMD","Yes","On Semiconductor","1N4148WT","Digi-Key","1N4148WTCT-ND","https://www.fairchildsemi.com/datasheets/1N/1N914BWT.pdf"
"C11","CAP - CER 1nF 10% 3kV X7R - 1808","1808","TopLayer","2220,000","533,055","360","DNI","SMD","No","AVX Corporation","1808HC102KAT1A","Digi-Key","478-2981-1-ND","http://datasheets.avx.com/AVX-HV_MLCC.pdf"
"J6","CON - Quick connect tab - TH","TH","TopLayer","216,535","1870,079","90","","TH","Yes","TE Connectivity AMP Connectors","1217861-1","Digi-Key","A100452CT-ND","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217861&DocType=Customer+Drawing&DocLang=English"
"J5","CON - Quick connect tab - TH","TH","TopLayer","216,535","1456,693","90","","TH","Yes","TE Connectivity AMP Connectors","1217861-1","Digi-Key","A100452CT-ND","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217861&DocType=Customer+Drawing&DocLang=English"
"J3","CON - Quick connect tab - TH","TH","TopLayer","2145,669","1456,693","90","","TH","Yes","TE Connectivity AMP Connectors","1217861-1","Digi-Key","A100452CT-ND","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217861&DocType=Customer+Drawing&DocLang=English"
"J4","CON - Quick connect tab - TH","TH","TopLayer","216,535","492,126","90","","TH","Yes","TE Connectivity AMP Connectors","1217861-1","Digi-Key","A100452CT-ND","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217861&DocType=Customer+Drawing&DocLang=English"
"J2","CON - Quick connect tab - TH","TH","TopLayer","216,535","905,512","90","","TH","Yes","TE Connectivity AMP Connectors","1217861-1","Digi-Key","A100452CT-ND","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217861&DocType=Customer+Drawing&DocLang=English"
"J1","CON - Quick connect tab - TH","TH","TopLayer","2145,669","1870,079","90","","TH","Yes","TE Connectivity AMP Connectors","1217861-1","Digi-Key","A100452CT-ND","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217861&DocType=Customer+Drawing&DocLang=English"
